   Format  Mode  Description
-------------------------------------------------------------------------------
     8BIM*  rw-  Photoshop resource format
      AFM*  r--  TrueType font
     APP1*  rw-  Photoshop resource format
      ART*  r--  PF1: 1st Publisher
      AVI*  r--  Audio/Visual Interleaved
      AVS*  rw+  AVS X image
      BIE*  rw-  Joint Bi-level Image experts Group interchange format
      BMP*  rw+  Microsoft Windows bitmap image
     CMYK*  rw+  Raw cyan, magenta, yellow, and black samples
    CMYKA*  rw+  Raw cyan, magenta, yellow, black, and matte samples
      CUT*  r--  DR Hallo
      DCM*  r--  Digital Imaging and Communications in Medicine image
      DCX*  rw+  ZSoft IBM PC multi-page Paintbrush
      DPX*  rw+  Digital Moving Picture Exchange
     EPDF*  rw-  Encapsulated Portable Document Format
      EPI*  rw-  Adobe Encapsulated PostScript Interchange format
      EPS*  rw-  Adobe Encapsulated PostScript
     EPS2*  -w-  Adobe Level II Encapsulated PostScript
     EPS3*  -w+  Adobe Level III Encapsulated PostScript
     EPSF*  rw-  Adobe Encapsulated PostScript
     EPSI*  rw-  Adobe Encapsulated PostScript Interchange format
      EPT*  rw-  Adobe Encapsulated PostScript with TIFF preview
      FAX*  rw+  Group 3 FAX
     FILE*  r--  Uniform Resource Locator
     FITS*  rw-  Flexible Image Transport System
      FPX*  rw-  FlashPix Format
      FTP*  r--  Uniform Resource Locator
       G3*  rw-  Group 3 FAX
      GIF*  rw+  CompuServe graphics interchange format
    GIF87*  rw-  CompuServe graphics interchange format (version 87a)
 GRADIENT*  r--  Gradual passing from one shade to another
  GRANITE*  r--  Granite texture
     GRAY*  rw+  Raw gray samples
        H*  rw-  Internal format
      HDF   rw+  Hierarchical Data Format
HISTOGRAM*  -w-  Histogram of the image
      HTM*  -w-  Hypertext Markup Language and a client-side image map
     HTML*  -w-  Hypertext Markup Language and a client-side image map
     HTTP*  r--  Uniform Resource Locator
      ICB*  rw+  Truevision Targa image
      ICM*  rw-  ICC Color Profile
      ICO*  r--  Microsoft icon
     ICON*  r--  Microsoft icon
     IPTC*  rw-  IPTC Newsphoto
      JBG*  rw+  Joint Bi-level Image experts Group interchange format
     JBIG*  rw+  Joint Bi-level Image experts Group interchange format
      JP2*  rw-  JPEG-2000 JP2 File Format Syntax
      JPC*  rw-  JPEG-2000 Code Stream Syntax
     JPEG*  rw-  Joint Photographic Experts Group JFIF format
      JPG*  rw-  Joint Photographic Experts Group JFIF format
    LABEL*  r--  Text image format
     LOGO*  rw-  ImageMagick Logo
      M2V*  rw+  MPEG Video Stream
      MAP*  rw-  Colormap intensities and indices
      MAT*  r--  MATLAB image format
    MATTE*  -w+  MATTE format
     MIFF*  rw+  Magick image format
      MNG*  rw+  Multiple-image Network Graphics
     MONO*  rw-  Bi-level bitmap in least-significant-byte first order
      MPC   rw-  Magick Persistent Cache image format
     MPEG*  rw+  MPEG Video Stream
      MPG*  rw+  MPEG Video Stream
      MPR*  rw-  Magick Persistent Registry
      MSL*  rw+  Magick Scripting Language
      MTV*  rw+  MTV Raytracing image format
      MVG*  rw-  Magick Vector Graphics
 NETSCAPE*  r--  Netscape 216 color cube
